prior,model,epoch,loss,val_loss
Gaussian,MLP,0,1.0491081476211548,0.814059853553772
Gaussian,MLP,1,0.7924227714538574,0.7465109825134277
Gaussian,MLP,2,0.7407484650611877,0.7011850476264954
Gaussian,MLP,3,0.7098239660263062,0.6698676943778992
Gaussian,MLP,4,0.6882994771003723,0.6491857171058655
Gaussian,MLP,5,0.6741136312484741,0.6361357569694519
Gaussian,MLP,6,0.6625580191612244,0.6251418590545654
Gaussian,MLP,7,0.6516650915145874,0.6175234913825989
Gaussian,MLP,8,0.6436445116996765,0.6098442077636719
Gaussian,MLP,9,0.6370521783828735,0.6042914986610413
Gaussian,MLP,10,0.6359325051307678,0.6033228635787964
Gaussian,MLP,11,0.6310823559761047,0.5992978811264038
Gaussian,MLP,12,0.6282235980033875,0.5970516800880432
Gaussian,MLP,13,0.6292046308517456,0.5980375409126282
Gaussian,MLP,14,0.6285241842269897,0.5973600745201111
Gaussian,MLP,15,0.6256282925605774,0.5946650505065918
Gaussian,MLP,16,0.6229727268218994,0.592856228351593
Gaussian,MLP,17,0.6218382120132446,0.5921385288238525
Gaussian,MLP,18,0.6239364147186279,0.5946547985076904
Gaussian,MLP,19,0.6250587105751038,0.5942777395248413
Gaussian,MLP,20,0.6204940676689148,0.590747058391571
Gaussian,MLP,21,0.6176921129226685,0.5898295044898987
Gaussian,MLP,22,0.6154912114143372,0.5883965492248535
Gaussian,MLP,23,0.617064356803894,0.5892034769058228
Gaussian,MLP,24,0.6189187169075012,0.5900973677635193
Gaussian,MLP,25,0.6149008870124817,0.5872077345848083
Gaussian,MLP,26,0.6172261238098145,0.5891498327255249
Gaussian,MLP,27,0.6140811443328857,0.586890697479248
Gaussian,MLP,28,0.6131027936935425,0.5859689712524414
Gaussian,MLP,29,0.6109474897384644,0.5843284726142883
Gaussian,MLP,30,0.6107109189033508,0.5849570035934448
Gaussian,MLP,31,0.609356164932251,0.5833334922790527
Gaussian,MLP,32,0.612221896648407,0.5862771272659302
Gaussian,MLP,33,0.6100424528121948,0.584244966506958
Gaussian,MLP,34,0.61170893907547,0.5852261781692505
Gaussian,MLP,35,0.60938960313797,0.5841144919395447
Gaussian,MLP,36,0.6079812049865723,0.5822674036026001
Gaussian,MLP,37,0.6067672371864319,0.5808659791946411
Gaussian,MLP,38,0.6065073013305664,0.5810909271240234
Gaussian,MLP,39,0.6097837090492249,0.5835868716239929
Gaussian,MLP,40,0.6068935990333557,0.5819798707962036
Gaussian,MLP,41,0.607612669467926,0.5815428495407104
Gaussian,MLP,42,0.6060917973518372,0.5798236727714539
Gaussian,MLP,43,0.6050215363502502,0.5799198746681213
Gaussian,MLP,44,0.6061230897903442,0.5804257392883301
Gaussian,MLP,45,0.6105042099952698,0.5836091637611389
Gaussian,MLP,46,0.613186776638031,0.5861320495605469
Gaussian,MLP,47,0.6091766357421875,0.5828814506530762
Gaussian,MLP,48,0.6092395782470703,0.5829435586929321
Gaussian,MLP,49,0.6071008443832397,0.5816418528556824
Gaussian,MLP,50,0.6053496599197388,0.5801025032997131
Gaussian,MLP,51,0.6048570871353149,0.5808403491973877
Gaussian,MLP,52,0.6057915687561035,0.5797663331031799
Gaussian,MLP,53,0.6071140766143799,0.5813691020011902
Gaussian,MLP,54,0.6046867966651917,0.5803111791610718
Gaussian,MLP,55,0.6056081056594849,0.5798810720443726
Gaussian,MLP,56,0.6062963008880615,0.5808571577072144
Gaussian,MLP,57,0.6043374538421631,0.579788327217102
Gaussian,MLP,58,0.6014696955680847,0.5767499804496765
Gaussian,MLP,59,0.6007998585700989,0.5767308473587036
Gaussian,MLP,60,0.6010530591011047,0.5763291120529175
Gaussian,MLP,61,0.6010414361953735,0.5767847299575806
Gaussian,MLP,62,0.6010043025016785,0.5763564705848694
Gaussian,MLP,63,0.6006258726119995,0.5757712721824646
Gaussian,MLP,64,0.6019254326820374,0.5773683190345764
Gaussian,MLP,65,0.601213812828064,0.5763574838638306
Gaussian,MLP,66,0.6013678908348083,0.5767638087272644
Gaussian,MLP,67,0.6009345650672913,0.5762947201728821
Gaussian,MLP,68,0.6006003618240356,0.5760870575904846
Gaussian,MLP,69,0.6002647280693054,0.5752861499786377
Gaussian,MLP,70,0.5998440384864807,0.5752347707748413
Gaussian,MLP,71,0.5997246503829956,0.5753619074821472
Gaussian,MLP,72,0.5999470949172974,0.5754938721656799
Gaussian,MLP,73,0.6006412506103516,0.576059877872467
Gaussian,MLP,74,0.6001846790313721,0.5754846930503845
Gaussian,MLP,75,0.599594235420227,0.5764446258544922
Gaussian,MLP,76,0.5993111729621887,0.5753883719444275
Gaussian,MLP,77,0.5999610424041748,0.5752155184745789
Gaussian,MLP,78,0.6006463170051575,0.5764771103858948
Gaussian,MLP,79,0.600493848323822,0.5753807425498962
Gaussian,MLP,80,0.5999053716659546,0.5753644108772278
Gaussian,MLP,81,0.5995412468910217,0.5748983025550842
Gaussian,MLP,82,0.5994272828102112,0.5750663876533508
Gaussian,MLP,83,0.5996257066726685,0.5748305320739746
Gaussian,MLP,84,0.5995994210243225,0.5748530626296997
Gaussian,MLP,85,0.599564254283905,0.5746437311172485
Gaussian,MLP,86,0.6011348962783813,0.5763612985610962
